,,,,,,,,,,-102,Correción,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Banca,"64,35 €","64,35 €","64,35 €","64,35 €","64,35 €","64,35 €","54,36 €","57,13 €","57,13 €","57,13 €","57,13 €","57,13 €","57,13 €","57,13 €","57,13 €","57,13 €","97,13 €","95,63 €","77,56 €","77,56 €","77,56 €","77,56 €","87,55 €","87,55 €","79,83 €","79,83 €","79,83 €","58,85 €","58,85 €","58,85 €","58,85 €",,"-5,50 €"
Efectivo,"1.723,00 €","1.713,35 €","1.710,85 €","1.778,45 €","1.775,90 €","1.774,65 €","1.703,40 €","1.745,85 €","1.707,90 €","1.717,90 €","1.557,00 €","1.561,95 €","1.556,95 €","1.546,95 €","1.575,85 €","1.675,85 €","1.689,31 €","1.683,21 €","1.683,21 €","1.694,91 €","1.738,21 €","1.725,66 €","1.723,80 €","1.743,80 €","1.737,70 €","1.700,48 €","1.710,48 €","1.710,48 €","1.709,23 €","1.709,64 €","1.709,64 €",,"-13,36 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Ingresos,Banca,,,,,,,"170,00 €",,,,,,,,,"40,00 €",,,,,,"9,99 €",,,,,,,,,"219,99 €",
,Efectivo,,,"80,00 €",,,,"-115,00 €",,"10,00 €","20,00 €","20,00 €",,,"50,00 €",,,,,"20,00 €",,,,"20,00 €",,,"10,00 €",,,"5,00 €",,"120,00 €",
,Regalo,,,,,,,,,,,,,,,"100,00 €",,,,,"50,00 €",,,,,,,,,,,"150,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","0,00 €","80,00 €","0,00 €","0,00 €","0,00 €","55,00 €","0,00 €","10,00 €","20,00 €","20,00 €","0,00 €","0,00 €","50,00 €","100,00 €","40,00 €","0,00 €","0,00 €","20,00 €","50,00 €","0,00 €","9,99 €","20,00 €","0,00 €","0,00 €","10,00 €","0,00 €","0,00 €","5,00 €","0,00 €","489,99 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"3,55 €","2,50 €","6,3","2,55 €","1,25 €","1,25 €","2,55 €","32,55 €",,,"10,00 €",,"10,00 €",,,"20,44 €",,,"8,30 €",,"2,55 €","5,75 €",,,"1,25 €",,,"1,25 €","4,59 €",,"116,63 €",
,Tren,"6,10 €",,"6,10 €",,,,,"5,40 €",,"6,10 €","5,05 €",,,"6,10 €",,"6,10 €","6,10 €",,,,,"6,10 €",,"6,10 €",,,,,,,"59,25 €",
,Ropa,,,,,,,"64,00 €",,,,,,,,,,,,,,,,,,"35,97 €",,,,,,"99,97 €",
,Entretenimiento,,,,,,,,,,,,"5,00 €",,"15,00 €",,,,,,"4,20 €",,,,,,,,,,,"24,20 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,"2,50 €",,,,,,,,,,,"2,50 €",
,Bus,,,,,,,"10,00 €",,,,,,,,,,,,,,,,,,,,,,,,"10,00 €",
,Coche,,,,,,,"103,23 €",,,"72,36 €",,,,,,,,,,,,,,,,,,,,,"175,59 €",
,Salud,,,,,,"70,00 €",,,,,,,,,,,,,,,"10,00 €",,,,,,,,,,"80,00 €",
,Banca,,,,,,"9,99 €","167,23 €",,,,,,,,,,"1,50 €","18,07 €",,,,,,"7,72 €",,,"20,98 €",,,,"225,49 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"9,65 €","2,50 €","12,40 €","2,55 €","1,25 €","71,25 €","12,55 €","37,95 €","0,00 €","78,46 €","15,05 €","5,00 €","10,00 €","21,10 €","0,00 €","26,54 €","6,10 €","0,00 €","8,30 €","6,70 €","12,55 €","11,85 €","0,00 €","6,10 €","37,22 €","0,00 €","0,00 €","1,25 €","4,59 €","0,00 €","568,14 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sobre,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1520,,,,,1620,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Cartera,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,37,,,,,57,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1557,,,,,1677,,,,,,,,,,,,,,,,,
