,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Banca,"58,39 €","58,39 €","45,40 €","45,40 €","95,40 €","61,50 €","61,50 €","61,50 €","61,50 €","61,50 €","61,50 €","61,50 €","61,50 €","61,50 €","61,50 €","61,50 €","38,41 €","38,41 €","278,41 €","278,41 €","278,41 €","278,41 €","277,01 €","265,66 €","255,16 €","253,76 €","220,66 €","184,41 €","177,91 €","217,73 €","128,79 €","107,46 €",,"49,07 €"
Efectivo,"892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","912,48 €","912,48 €","912,48 €","887,48 €","887,48 €","834,50 €","834,50 €","834,50 €","833,30 €","827,80 €","827,80 €","827,80 €","817,80 €","817,80 €","810,80 €","800,80 €","797,80 €","797,80 €","797,80 €","690,60 €","690,60 €","694,70 €",,"-197,78 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Ingresos,Banca,,,,"50,00 €",,,,,,,,,,,,,,"240,00 €",,,,,,,,"30,00 €",,"4,00 €","100,00 €",,,"424,00 €",
,Efectivo,,,,,,,,,,"20,00 €",,,,,,,,"-240,00 €",,,,,,,,,,,"-100,00 €",,"20,00 €","-300,00 €",
,Regalo,,,,,,,,,,,,,,,"100,00 €",,,"270,00 €",,,,,,,,,,,,,,"370,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","100,00 €","0,00 €","0,00 €","30,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","-100,00 €","0,00 €","20,00 €","70,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,,,,,,,,"11,25 €",,,,,,,,,,,"7,20 €",,,"18,45 €",
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ropa,,,,,,,,,,,,,,,,,,"19,95 €","5,50 €",,,,,,,,,,,,,"25,45 €",
,Entretenimiento,,,,,,,,,,,,,"25,00 €",,,,,,,,,"10,00 €",,"7,00 €","10,00 €","3,00 €",,,,,"5,90 €","60,90 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Coche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,00 €","10,00 €",
,Banca,,"12,99 €",,,"33,90 €",,,,,,,,,,,"23,09 €",,,,,,"1,40 €","11,35 €","10,50 €","1,40 €","63,10 €","36,25 €","10,50 €","60,18 €","88,94 €","21,33 €","374,93 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","25,00 €","0,00 €","0,00 €","0,00 €","0,00 €","31,20 €","5,50 €","0,00 €","0,00 €","10,00 €","0,00 €","7,00 €","10,00 €","3,00 €","0,00 €","0,00 €","7,20 €","0,00 €","15,90 €","114,80 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Correción,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
