,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Banca,"50,19 €","45,19 €","38,79 €","38,79 €","38,79 €","38,79 €","52,84 €","52,84 €","22,26 €","22,26 €","22,26 €","22,26 €","18,21 €","55,12 €","55,12 €","55,12 €","51,92 €","51,92 €","51,92 €","51,92 €","41,99 €","41,99 €","41,99 €","24,05 €","93,05 €","93,05 €","84,37 €","71,38 €","71,38 €","71,38 €","70,39 €","58,39 €",,"8,20 €"
Efectivo,"875,68 €","963,68 €","929,68 €","929,68 €","929,68 €","927,68 €","927,68 €","931,38 €","923,58 €","923,58 €","923,58 €","923,58 €","923,58 €","923,58 €","923,58 €","903,58 €","897,48 €","911,38 €","905,38 €","905,38 €","905,38 €","905,38 €","897,88 €","872,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €","892,48 €",,"16,80 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Ingresos,Banca,,,,,,"14,99 €",,,,,,,"50,00 €",,,,,,,,,,"16,00 €","69,00 €",,,,,,,,"149,99 €",
,Efectivo,"90,00 €","30,00 €",,,"5,00 €",,"10,00 €",,,,,,,,,,"20,00 €","5,00 €",,,,,"20,00 €","20,00 €",,,,,,,,"200,00 €",
,Regalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"90,00 €","30,00 €","0,00 €","0,00 €","5,00 €","0,00 €","10,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","5,00 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","200,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"14,00 €",,,"7,00 €",,"6,30 €","7,80 €",,,,,,,,,,,,,,,"26,00 €",,,,,,,,,"61,10 €",
,Tren,,,,,,,,,,,,,,,,"6,10 €","6,10 €",,,,,"7,50 €",,,,,,,,,,"19,70 €",
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Entretenimiento,"2,00 €","10,00 €",,,,,,,,,,,,,"20,00 €",,,"11,00 €",,,,,"19,40 €",,,,,,,,,"62,40 €",
,Tecnología,,"40,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,00 €",
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Coche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Banca,"5,00 €","6,40 €",,,,"0,94 €",,"30,58 €",,,,"4,05 €","13,09 €",,,"3,20 €",,,,"9,93 €",,,"33,94 €",,,"8,68 €","12,99 €",,,"0,99 €","12,00 €","141,79 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"2,00 €","64,00 €","0,00 €","0,00 €","7,00 €","0,00 €","6,30 €","7,80 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","6,10 €","6,10 €","11,00 €","0,00 €","0,00 €","0,00 €","7,50 €","45,40 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","183,20 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
