,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Banca,"58,85 €","58,85 €","66,77 €","56,78 €","76,78 €","76,78 €","76,78 €","40,79 €","40,79 €","40,79 €","30,90 €","30,90 €","56,89 €","56,89 €","53,89 €","53,89 €","53,89 €","17,89 €","17,89 €","17,89 €","17,89 €","17,89 €","17,89 €","40,89 €","40,89 €","37,90 €","29,85 €","17,96 €","19,76 €","119,76 €","29,76 €","29,76 €",,"-29,09 €"
Efectivo,"1.709,64 €","1.708,39 €","1.673,65 €","1.672,40 €","1.688,75 €","1.716,80 €","1.712,55 €","1.712,55 €","1.726,45 €","1.691,70 €","1.690,45 €","1.679,20 €","1.753,15 €","1.753,15 €","1.723,15 €","1.723,15 €","1.190,65 €","1.183,05 €","1.180,55 €","1.178,20 €","1.176,95 €","1.196,95 €","1.196,95 €","1.196,95 €","1.195,70 €","1.174,45 €","1.205,95 €","1.150,06 €","1.199,06 €","1.129,06 €","1.098,14 €","1.089,44 €",,"-620,20 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Ingresos,Banca,,"20,00 €",,"20,00 €",,,,,,,,"25,99 €",,,,,,,,,,,"23,00 €",,"20,00 €",,,"1,80 €","100,00 €","10,00 €",,"220,79 €",
,Efectivo,,,,"30,00 €","45,00 €",,,"20,00 €",,,,"90,00 €",,,,,,,,,"20,00 €",,,,"-20,00 €","80,00 €",,"50,00 €",,,,"315,00 €",
,Regalo,"20,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"20,00 €","0,00 €","0,00 €","30,00 €","45,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","90,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","-20,00 €","80,00 €","0,00 €","50,00 €","0,00 €","0,00 €","0,00 €","335,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"1,25 €","1,25 €","1,25","1,25 €","4,75 €","1,25 €",,,"4,70 €","1,25 €","1,25 €","9,95 €",,"30,00 €",,"32,50 €",,"2,50 €","1,25 €","1,25 €",,,,"1,25 €","1,25 €","1,25 €",,,"20,00 €","20,00 €",,"139,40 €",
,Tren,,,,,"6,10 €",,,"6,10 €",,,,"6,10 €",,,,,"7,60 €",,,,,,,,,"7,25 €",,,,,,"33,15 €",
,Ropa,,"33,49 €",,,,,,,"30,05 €",,,,,,,,,,,,,,,,,,,,,,,"63,54 €",
,Entretenimiento,,,,,"6,10 €",,,,,,,,,,,,,,,,,,,,,"40,00 €","44,00 €","1,00 €","50,00 €","10,92 €",,"152,02 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Bus,,,,"12,40 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,40 €",
,Coche,,,,,,,,,,,,,,,,"500,00 €",,,,,,,,,,,,,,,,"500,00 €",
,Salud,,,,,,"3,00 €",,,,,"10,00 €",,,,,,,,"1,10 €",,,,,,,,,,,,"8,70 €","22,80 €",
,Banca,,"12,08 €","9,99 €",,,,"35,99 €",,,"9,89 €",,,,"3,00 €",,,"36,00 €",,,,,,,,"22,99 €","8,05 €","11,89 €",,,"100,00 €",,"249,88 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"1,25 €","34,74 €","1,25 €","13,65 €","16,95 €","4,25 €","0,00 €","6,10 €","34,75 €","1,25 €","11,25 €","16,05 €","0,00 €","30,00 €","0,00 €","532,50 €","7,60 €","2,50 €","2,35 €","1,25 €","0,00 €","0,00 €","0,00 €","1,25 €","1,25 €","48,50 €","55,89 €","1,00 €","70,00 €","30,92 €","8,70 €","923,31 €",
