,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Banca,"29,93 €","29,93 €","53,93 €","43,93 €","83,93 €","83,93 €","73,93 €","79,93 €","43,10 €","30,90 €","30,90 €","30,90 €","21,91 €","21,91 €","21,91 €","63,21 €","48,02 €","48,02 €","48,02 €","48,02 €","48,02 €","48,02 €","38,03 €","25,04 €","55,04 €","55,04 €","55,04 €","55,04 €","55,04 €","55,04 €","55,04 €",,"25,11 €"
Efectivo,"755,74 €","755,74 €","782,24 €","770,49 €","754,24 €","754,24 €","754,24 €","752,99 €","752,99 €","751,74 €","751,74 €","780,69 €","779,44 €","779,44 €","778,19 €","776,94 €","775,69 €","804,44 €","803,19 €","784,56 €","784,56 €","783,31 €","782,06 €","772,76 €","741,51 €","740,26 €","740,26 €","740,26 €","739,01 €","737,76 €","736,51 €",,"-19,23 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Ingresos,Banca,,"25,00 €",,"53,20 €",,,"6,00 €",,,,,,,,"100,00 €",,,,,,,"3,00 €",,"30,00 €",,,,,,,"217,20 €",
,Efectivo,,"30,00 €",,,,,,,,,"40,00 €",,,,,,"30,00 €",,,,,,,"-30,00 €",,,,,,,"70,00 €",
,Regalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","30,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","40,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","30,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","-30,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","70,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"3,50 €","1,75","1,25 €",,,"1,25 €",,"1,25 €",,"11,05 €","1,25 €",,"1,25 €","1,25 €","1,25 €","1,25 €","1,25 €",,,"1,25 €","1,25 €","1,30 €","1,25 €","1,25 €",,,"1,25 €","1,25 €","1,25 €","37,60 €",
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Entretenimiento,,,,"15,00 €",,,,,,,,,,,,,,,,,,,"8,00 €",,,,,,,,"23,00 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Coche,,,,,,,,,,,,,,,,,,,"18,63 €",,,,,,,,,,,,"18,63 €",
,Salud,,,"10,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,00 €",
,Banca,,"1,00 €","10,00 €","13,20 €",,"10,00 €",,"36,83 €","12,20 €",,,"8,99 €",,,"58,70 €","15,19 €",,,,,,,"12,99 €",,,,,,,,"179,10 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","3,50 €","11,75 €","16,25 €","0,00 €","0,00 €","1,25 €","0,00 €","1,25 €","0,00 €","11,05 €","1,25 €","0,00 €","1,25 €","1,25 €","1,25 €","1,25 €","1,25 €","18,63 €","0,00 €","1,25 €","1,25 €","9,30 €","1,25 €","1,25 €","0,00 €","0,00 €","1,25 €","1,25 €","1,25 €","89,23 €",
