,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Banca,"53,52 €","53,52 €","57,02 €","57,02 €","57,02 €","47,03 €","47,03 €","35,88 €","35,88 €","35,88 €","35,88 €","35,88 €","10,11 €","64,10 €","64,10 €","64,10 €","64,10 €","64,10 €","64,10 €","64,10 €","59,05 €","63,05 €","48,91 €","48,91 €","48,91 €","45,92 €","29,93 €","29,93 €","29,93 €","29,93 €","29,93 €","29,93 €",,"-23,59 €"
Efectivo,"737,55 €","787,55 €","781,45 €","780,25 €","779,05 €","735,22 €","732,67 €","762,17 €","762,17 €","762,17 €","695,89 €","695,89 €","713,89 €","713,89 €","713,89 €","712,64 €","711,39 €","711,39 €","711,39 €","710,14 €","708,89 €","764,44 €","764,44 €","764,44 €","764,44 €","763,19 €","761,94 €","760,74 €","755,74 €","755,74 €","755,74 €","755,74 €",,"18,19 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Ingresos,Banca,,"3,50 €",,,"40,00 €",,,,,,,"13,00 €","53,99 €",,,,,,,,"4,00 €","10,00 €",,,,,,,,,,"124,49 €",
,Efectivo,"50,00 €",,,,"-40,00 €",,"50,00 €",,,,,"20,00 €",,,,,,,,,"70,00 €",,,,,,,,,,,"150,00 €",
,Regalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"50,00 €","0,00 €","0,00 €","0,00 €","-40,00 €","0,00 €","50,00 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","70,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","150,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,"1,2","1,20 €","3,83 €","2,55 €","20,50 €",,,"1,20 €",,"2,00 €",,,"1,25 €","1,25 €",,,"1,25 €","1,25 €","10,05 €",,,,"1,25 €","1,25 €","1,20 €","5,00 €",,,,"56,23 €",
,Tren,,"6,10 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,10 €",
,Ropa,,,,,,,,,,"65,08 €",,,,,,,,,,,,,,,,,,,,,,"65,08 €",
,Entretenimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,,"4,40 €",,,,,,,,,,,"4,40 €",
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Coche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Banca,,,,,"49,99 €",,"11,15 €",,,,,"38,77 €",,,,,,,,"5,05 €",,"24,14 €",,,"2,99 €","15,99 €",,,,,,"148,08 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","6,10 €","1,20 €","1,20 €","3,83 €","2,55 €","20,50 €","0,00 €","0,00 €","66,28 €","0,00 €","2,00 €","0,00 €","0,00 €","1,25 €","1,25 €","0,00 €","0,00 €","1,25 €","1,25 €","14,45 €","0,00 €","0,00 €","0,00 €","1,25 €","1,25 €","1,20 €","5,00 €","0,00 €","0,00 €","0,00 €","131,81 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
