,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Banca,"107,46 €","98,36 €","98,36 €","39,43 €","39,43 €","39,43 €","39,43 €","78,65 €","78,65 €","78,65 €","69,66 €","69,66 €","69,66 €","49,87 €","49,87 €","99,87 €","94,27 €","101,27 €","101,27 €","101,27 €","101,27 €","27,28 €","47,28 €","44,51 €","28,52 €","28,52 €","3,52 €","3,52 €","3,52 €","3,52 €","53,52 €",,"-53,94 €"
Efectivo,"694,70 €","750,00 €","750,00 €","750,00 €","743,90 €","743,90 €","778,85 €","702,35 €","702,35 €","702,35 €","702,35 €","702,35 €","721,15 €","718,15 €","718,15 €","716,90 €","716,90 €","692,70 €","659,60 €","657,05 €","657,05 €","657,05 €","634,50 €","628,75 €","628,75 €","628,75 €","605,81 €","750,00 €","748,75 €","736,20 €","737,55 €",,"42,85 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Ingresos,Banca,,,,,,,"60,00 €",,,,,,,,"50,00 €",,"7,00 €",,,,,"20,00 €",,,,,,,,"50,00 €","187,00 €",
,Efectivo,"50,00 €",,,,,"40,00 €","-60,00 €",,,,,"20,00 €",,,,,,,,,,"-20,00 €",,,,,,,,"13,00 €","43,00 €",
,Regalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"50,00 €","0,00 €","0,00 €","0,00 €","0,00 €","40,00 €","-60,00 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","-20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","13,00 €","43,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,,"1,20 €","3,00 €",,"1,25 €",,,,"2,55 €",,,"2,55 €","0,70 €",,,"2,55 €","1,25 €","1,25 €","2,55 €","1,20 €","20,05 €",
,Tren,"6,10 €",,,"6,10 €",,"5,05",,,,,,,,,,,,,,,,,"5,05 €",,,,,,,"6,10 €","28,40 €",
,Ropa,,,,,,,"16,50 €",,,,,,,,,,,,,,,,,,,,,,,,"16,50 €",
,Entretenimiento,,,,,,,,,,,,,,,,,"24,20 €","33,10 €",,,,,,,,,,,,,"57,30 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,"19,99 €",,,,"4,35 €","24,34 €",
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,50 €",,,,"2,50 €",
,Coche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,"0,40 €",,,"10,00 €",,"10,40 €",
,Banca,"9,10 €",,"58,93 €",,,,"20,78 €",,,"8,99 €",,,"19,79 €",,,"5,60 €",,,,,"73,99 €",,"2,77 €","15,99 €",,"25,00 €",,,,,"240,94 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"6,10 €","0,00 €","0,00 €","6,10 €","0,00 €","5,05 €","16,50 €","0,00 €","0,00 €","0,00 €","0,00 €","1,20 €","3,00 €","0,00 €","1,25 €","0,00 €","24,20 €","33,10 €","2,55 €","0,00 €","0,00 €","2,55 €","5,75 €","0,00 €","0,00 €","22,94 €","3,75 €","1,25 €","12,55 €","11,65 €","159,49 €",
