,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,"6,40 €","50,77 €",,"141,09 €","48,00 €","14,50 €","50,00 €",,,"7,00 €","62,56 €",,,,,,"50,00 €",,"60,00 €",,,,"7,00 €","50,00 €",,"40,00 €","80,00 €",,,,"667,32 €"
TOTAL,,,"6,40 €",,,"141,09 €","48,00 €","14,50 €","50,00 €",,,"7,00 €","62,56 €",,,,,,"50,00 €",,"60,00 €",,,,"7,00 €","50,00 €",,"40,00 €","80,00 €",,,,"667,32 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,"19,00 €","27,23 €","21,33 €","2,80 €",,,"12,50 €","25,90 €",,,,"16,55 €",,,"16,45 €",,,"3,30 €","18,86 €",,"2,99 €","17,64 €",,,,,,"184,55 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,"69,94 €",,,,,,,,,"6,50 €",,,,,,,,,,"76,44 €"
,Entretenimiento,,,,,"20,44 €",,,"12,00 €",,,"6,80 €",,,"12,99 €",,,"8,80 €",,,"5,15 €","17,20 €","21,00 €","8,00 €",,,,"5,18 €","0,60 €","41,74 €",,,"159,90 €"
,Tecnología,,,,,"19,16 €",,,,,,,,"40,16 €","3,95 €",,,,,,"202,33 €",,,,,,,,,"8,96 €",,,"274,56 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,,"4,71 €",,,,,,"27,80 €",,,,,,"27,80 €",,,,,,,,,,,,"30,00 €",,,"90,31 €"
,Salud,,,,,,,,,,,,,"10,00 €",,,,,,,"32,00 €",,,,,,,"0,98 €",,,,,"42,98 €"
TOTAL,,"0,00 €","0,00 €","0,00 €","0,00 €","63,31 €","27,23 €","21,33 €","14,80 €","0,00 €","0,00 €","47,10 €","25,90 €","120,10 €","16,94 €","0,00 €","16,55 €","36,60 €","0,00 €","16,45 €","239,48 €","17,20 €","30,80 €","26,86 €","0,00 €","2,99 €","17,64 €","6,16 €","0,60 €","80,70 €","0,00 €","0,00 €","828,74 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
