,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,"50,00 €","50,00 €",,"120,00 €",,,"60,00 €",,,"50,00 €","11,00 €",,,,"1,50 €",,"50,00 €",,"8,00 €",,,,"9,20 €","206,00 €",,"31,00 €","62,40 €","20,00 €",,"70,00 €",,"729,10 €"
TOTAL,,"50,00 €","50,00 €",,"120,00 €",,,"60,00 €",,,"50,00 €","11,00 €",,,,"1,50 €",,"50,00 €",,"8,00 €",,,,"9,20 €","206,00 €",,"31,00 €","62,40 €","20,00 €",,"70,00 €",,"729,10 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,"8,25 €","5,69 €","8,25 €",,,,"6,85 €",,"2,80 €","1,70 €","4,35 €",,,,"11,40 €",,,,,,,,,"20,00 €",,,,"69,29 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,,,,,,,,,,,"3,62 €","20,00 €",,,,,,"27,60 €",,,"5,50 €",,,,,"23,20 €",,"7,15 €",,,"87,07 €"
,Tecnología,,"2,49 €",,,,,,,,,,,"2,99 €","14,79 €",,,,,,"14,44 €",,,,,,,"17,99 €","7,15 €",,"49,49 €",,"109,34 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche/Moto,"1,95 €",,,,,,,,,,"30,00 €",,,,,,,,,,,,"1.000,00 €","500,00 €",,,,"430,41 €","21,97 €","263,89 €",,"2.248,22 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
TOTAL,,"1,95 €","2,49 €","0,00 €","0,00 €","8,25 €","5,69 €","8,25 €","0,00 €","0,00 €","0,00 €","36,85 €","3,62 €","25,79 €","16,49 €","4,35 €","0,00 €","0,00 €","0,00 €","39,00 €","14,44 €","0,00 €","5,50 €","1.000,00 €","500,00 €","0,00 €","0,00 €","41,19 €","457,56 €","29,12 €","313,38 €","0,00 €","2.513,92 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
