,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,,,"20,00 €","50,00 €",,,,,,,"3,20 €",,"140,00 €","6,40 €","20,00 €",,,,,,"50,00 €",,"20,00 €",,"10,00 €",,"15,00 €","70,00 €",,"319,60 €"
TOTAL,,,,,,"20,00 €","50,00 €",,,,,,,"3,20 €",,"140,00 €","6,40 €","20,00 €",,,,"7,50 €",,"50,00 €",,"20,00 €",,"10,00 €",,"15,00 €","70,00 €",,"319,60 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,"9,10 €",,"1,30 €","2,70 €","1,30 €","1,30 €","18,18 €",,,"1,30 €","1,30 €","1,30 €","1,30 €","1,30 €","22,6",,"1,70 €","1,30 €","1,30 €","1,30 €","16,50 €",,,"1,30 €","1,30 €","87,68 €"
,Combustible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,"15,00 €",,,,,,,,,,"49,99 €",,,,,,,,,,,"64,99 €"
,Entretenimiento,,,"9,65 €",,,,"3,00 €",,,,,,,"104,98 €",,,,,,,,,,,,,,,,,,"117,63 €"
,Tecnología,,,,"8,36 €",,,,,,,,,,,,,,,,,,,,,"18,98 €",,"35,00 €",,"11,84 €",,,"74,18 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,78 €",,"27,78 €"
,Salud,,,,,,,,,,,"10,00 €",,,,,,,,,,,,,,,,,,,,"4,12 €","14,12 €"
TOTAL,,"0,00 €","0,00 €","9,65 €","8,36 €","0,00 €","0,00 €","12,10 €","0,00 €","1,30 €","2,70 €","26,30 €","1,30 €","18,18 €","104,98 €","0,00 €","1,30 €","1,30 €","1,30 €","1,30 €","1,30 €","72,59 €","0,00 €","1,70 €","1,30 €","20,28 €","1,30 €","51,50 €","0,00 €","11,84 €","29,08 €","5,42 €","386,38 €"
