,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,
Ingresos,Ingreso,,,,"20,00 €",,"43,50 €",,,,"58,36 €","15,00 €","50,00 €",,"30,36 €",,,,,,"400,00 €","10,65 €",,,"165,00 €","143,45 €",,,,"936,32 €"
TOTAL,,,,,"20,00 €",,"43,50 €",,,,"58,36 €","15,00 €","50,00 €",,"30,36 €",,,,,,"400,00 €","10,65 €",,,"165,00 €","143,45 €",,,,"936,32 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"1,30 €","1,30 €","1,30 €",,,"1,30 €","1,30 €","1,30 €","1,30 €","1,30 €","16,82 €",,"1,30 €","1,30 €","1,30 €","3,90 €",,"8,00 €",,"10,37 €","8,5",,"1,30 €","22,00 €","3,00 €",,"1,30 €","1,30 €","90,79 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,"15,00 €",,,,,,,,,,,,,,,,,,,"15,00 €"
,Entretenimiento,"11,84 €",,,,,"1,00 €",,,,,"1,37 €",,"10,35 €",,,"2,50 €","12,00 €","6,55 €",,,"31,20 €",,,,,,,"29,99 €","106,80 €"
,Tecnología,,,,,,,,"148,82 €","39,99 €","13,99 €",,,,,,,,,,,,"29,99 €","2,99 €","15,99 €",,,,,"251,77 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,,,,,,,,"15,00 €","18,00 €",,,"20,00 €",,,"32,26 €",,,,,,"20,00 €",,,,,"105,26 €"
,Salud,"10,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,00 €"
TOTAL,,"23,14 €","1,30 €","1,30 €","0,00 €","0,00 €","2,30 €","1,30 €","150,12 €","41,29 €","30,29 €","33,19 €","18,00 €","11,65 €","1,30 €","21,30 €","6,40 €","12,00 €","46,81 €","0,00 €","10,37 €","39,70 €","29,99 €","4,29 €","57,99 €","3,00 €","0,00 €","1,30 €","31,29 €","579,62 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL
Ahorros,"931,11 €","907,97 €","906,67 €","905,37 €","925,37 €","925,37 €","966,57 €","965,27 €","815,15 €","773,86 €","801,93 €","783,74 €","815,74 €","804,09 €","833,15 €","811,85 €","805,45 €","793,45 €","746,64 €","746,64 €","1.136,27 €","1.107,22 €","1.077,23 €","1.072,94 €","1.179,95 €","1.320,40 €","1.320,40 €","1.319,10 €","1.287,81 €","1.644,51 €"
