,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,"17,99 €","50,00 €",,,,"50,55 €",,,"145,53 €","20,56 €",,"50,00 €",,,,,"69,99 €","20,00 €","20,00 €",,"2,70 €","59,40 €","90,03 €","11,65 €","4,90 €","830,91 €","50,00 €",,,,"1.494,21 €"
TOTAL,,,"17,99 €","50,00 €",,,,"50,55 €",,,"145,53 €","20,56 €",,"50,00 €",,,,,"69,99 €","20,00 €","20,00 €",,"2,70 €","59,40 €","90,03 €","11,65 €","4,90 €","830,91 €","50,00 €",,,,"1.494,21 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"6,00 €","2,70 €",,,,,,,,"12,00 €",,,"14,10 €","2,50 €",,,"18,40 €",,,"10,30 €","2,2",,,"22,25 €",,,,"15,98 €",,,,"106,43 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,"21,53 €",,,,,,"13,20 €",,,,,,,"12,99 €",,,,,,,"10,69 €",,,,,"15,47 €",,,"17,00 €",,,"90,88 €"
,Tecnología,,,,,,,,,,,,,,,,,,,,,"15,43 €",,,,"2,99 €","15,99 €",,,,,,"34,41 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,,"27,80 €","81,68 €","57,00 €","72,72 €",,,"48,88 €",,,,,,,,"37,79 €",,"1,00 €",,,"37,05 €",,"95,00 €",,"2,15 €",,"46,50 €",,"507,57 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,00 €",,,,"12,00 €"
TOTAL,,"27,53 €","2,70 €","0,00 €","0,00 €","27,80 €","81,68 €","70,20 €","72,72 €","0,00 €","12,00 €","48,88 €","0,00 €","14,10 €","15,49 €","0,00 €","0,00 €","18,40 €","0,00 €","37,79 €","10,30 €","29,32 €","0,00 €","0,00 €","59,30 €","2,99 €","126,46 €","0,00 €","30,13 €","17,00 €","46,50 €","0,00 €","751,29 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
