,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,"9,60 €",,"8,96 €","50,00 €","40,00 €",,,,"20,00 €","100,00 €",,,,"60,00 €",,,,,"55,90 €",,"6,40 €","60,00 €",,"50,00 €",,"50,00 €",,"0,56 €","10,55 €","510,86 €"
TOTAL,,,,"9,60 €",,"8,96 €","50,00 €","40,00 €",,,,"20,00 €","100,00 €",,,,"60,00 €",,,,,"55,90 €",,"6,40 €","60,00 €",,"50,00 €",,"50,00 €",,"0,56 €","10,55 €","510,86 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"2,50 €","14,40 €",,,,,,,,,,"18,40 €",,"8,00 €",,,,,,,,,,"12,21 €",,,,,"12,21 €","16,56 €","84,28 €"
,Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,"26,08 €",,,,,,,,,,,,,,"57,70 €",,,,,,,,,,,,"66,00 €",,,"149,78 €"
,Entretenimiento,,,,,,,,,,,,"12,12 €","12,10 €",,"4,99 €","12,99 €",,"34,94 €",,"6,50 €",,,,"18,98 €",,,,,,,,"102,62 €"
,Tecnología,,,"15,99 €",,,,,,,,,,,,,,,,,,,,,"10,00 €",,,,,"2,49 €",,,"28,48 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,"40,00 €",,,"27,19 €",,,,,,,,,,,,,,,,,,,,,,"27,70 €",,,"94,89 €"
,Salud,,,,,,,,,,,"10,00 €",,"27,70 €",,,,,,,,,,,,,,,,,,,"37,70 €"
TOTAL,,"0,00 €","2,50 €","56,47 €","40,00 €","0,00 €","0,00 €","27,19 €","0,00 €","0,00 €","0,00 €","10,00 €","12,12 €","58,20 €","0,00 €","12,99 €","12,99 €","57,70 €","34,94 €","0,00 €","6,50 €","0,00 €","0,00 €","0,00 €","28,98 €","12,21 €","0,00 €","0,00 €","0,00 €","96,19 €","12,21 €","16,56 €","497,75 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
