,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,"100,00 €",,"50,00 €",,,"50,00 €",,,,"50,00 €",,,,,,,"50,00 €",,,"9,00 €",,"3,00 €",,"50,00 €",,,,,,"362,00 €"
TOTAL,,,,"100,00 €",,"50,00 €",,,"50,00 €",,,,"50,00 €",,,,,,,"50,00 €",,,"9,00 €",,"3,00 €",,"50,00 €",,,,,,"362,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"2,80 €","1,40 €",,,"1,40 €","6,89 €","1,30 €","1,50 €","1,40 €","27,84 €",,"3,00 €","1,50 €",,"3,90 €","1,50 €",,,"4,35 €","1,5","6,71 €","1,40 €","5,30 €","14,00 €",,,,,,,"87,69 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,,,,,,,,,,,,,,,,,,,"10,00 €",,,,,,,,,,,,"10,00 €"
,Tecnología,"2,49 €",,,,,,,,,,,,,,"12,99 €",,,,,,,,,"17,99 €",,,,,,,,"33,47 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,,,,,,,"120,00 €","2,30 €",,"30,00 €",,,,,,,,,,,,,"30,00 €",,,,,,"182,30 €"
,Salud,,,,,,,,"12,00 €",,,,,,,,,,,,,,,,,,,,,,,,"12,00 €"
TOTAL,,"2,49 €","2,80 €","1,40 €","0,00 €","0,00 €","1,40 €","6,89 €","13,30 €","1,50 €","121,40 €","30,14 €","0,00 €","33,00 €","1,50 €","12,99 €","3,90 €","1,50 €","0,00 €","0,00 €","14,35 €","1,50 €","6,71 €","1,40 €","23,29 €","14,00 €","30,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","325,46 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
