,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,"2,00 €","2,00 €","2,00 €","1,20 €","20,00 €","17,00 €","50,00 €","60,00 €",,,,,,,"125,00 €",,,,,,"50,00 €","7,20 €",,"6,00 €",,,,"50,00 €",,,"342,40 €"
TOTAL,,,"2,00 €","2,00 €","2,00 €","1,20 €","20,00 €","17,00 €","50,00 €","60,00 €",,,,,,,"125,00 €",,,,,,"50,00 €","7,20 €",,"6,00 €",,,,"50,00 €",,,"342,40 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"5,46 €","3,10 €","1,40 €","5,10 €","4,35 €","20,00 €",,"5,89 €","1,40 €","1,40 €",,"7,64 €","3,71 €","9,80 €","3,90 €","1,40 €","1,40 €","1,40 €","9,50 €",,,"2,12 €","1,40 €","7,96 €","6,85 €","1,80 €",,,,,"106,98 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,,,,"5,00 €",,,,,,,"165,00 €",,,,,,,,,"5,00 €",,,,,,,,,,,"175,00 €"
,Tecnología,,,,,,,,,"37,44 €",,"37,59 €",,"47,73 €","12,99 €",,,,,,,,"-10,40 €",,,"20,98 €",,,,,,,"146,33 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,"1,95 €",,,,,"45,00 €",,,,,,"2,70 €","31,20 €",,,,,,,,,,,"30,00 €",,,,,"110,85 €"
,Salud,,,,,,,,,,"12,00 €","1,10 €",,,,,,,,,,,,,,,,,,,,,"13,10 €"
TOTAL,,"0,00 €","5,46 €","3,10 €","3,35 €","10,10 €","4,35 €","20,00 €","0,00 €","88,33 €","13,40 €","40,09 €","165,00 €","55,37 €","16,70 €","12,50 €","35,10 €","1,40 €","1,40 €","1,40 €","9,50 €","5,00 €","-10,40 €","2,12 €","1,40 €","28,94 €","6,85 €","31,80 €","0,00 €","0,00 €","0,00 €","0,00 €","552,26 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
