,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,TOTAL
Ingresos,Ingreso,"50,00 €",,,"180,00 €",,,"50,00 €",,,,"20,00 €","20,00 €",,"50,00 €",,,"65,00 €",,,"20,00 €","50,00 €","6,60 €","3,00 €","6,00 €","1,20 €",,"9,53 €","50,00 €","5,00 €",,,"581,33 €"
TOTAL,,"50,00 €",,,"180,00 €",,,"50,00 €",,,,"20,00 €","20,00 €",,"50,00 €",,,"65,00 €",,,"20,00 €","50,00 €","6,60 €","3,00 €","6,00 €","1,20 €",,"9,53 €","50,00 €","5,00 €",,,"581,33 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"1,40 €",,,"28,55 €","26,38 €",,"1,40 €","1,40 €","3,55 €","1,40 €","1,40 €",,,"1,40 €","1,40 €","4,35 €",,,"0,72 €",,"1,40 €","1,50 €","1,40 €","1,40 €",,"6,50 €",,"5,75 €","2,80 €","1,40 €","95,50 €"
,Ropa,,,,,,,,,,,,,,"20,00 €",,,,,,,,,,,,,,,,,,"20,00 €"
,Entretenimiento,,,,,"2,70 €",,,,,,,,,,,,,"13,37 €",,,,,,"12,29 €","11,99 €","54,00 €",,,,,,"94,35 €"
,Tecnología,,,,,,,,,,,,,,,,"12,99 €",,"19,46 €",,,,,,"17,99 €",,,,,,,,"50,44 €"
,Coche,,,,,,,,,,,,,,"41,47 €",,,,,,,,,,,,,,,,"30,00 €",,"71,47 €"
,Moto,,,,,,,,,,"9,46 €","16,77 €",,,,,,"12,16 €","12,49 €",,"16,50 €",,,,,,,,,,,,"67,38 €"
,Piezas/Recambios,,,,,,,,,,,,,,,"10,99 €",,,,,,,,,,,,,,"60,00 €",,,"70,99 €"
,Salud,,,,,,,,,,,,,"7,50 €",,,,,,,,,,,,,,,,,,,"7,50 €"
TOTAL,,"0,00 €","1,40 €","0,00 €","0,00 €","31,25 €","26,38 €","0,00 €","1,40 €","1,40 €","13,01 €","18,17 €","1,40 €","7,50 €","61,47 €","12,39 €","14,39 €","16,51 €","45,32 €","0,00 €","17,22 €","0,00 €","1,40 €","1,50 €","31,68 €","13,39 €","54,00 €","6,50 €","0,00 €","65,75 €","32,80 €","1,40 €","477,63 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
