,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,,,"50,00 €",,,,,,,"7,20 €",,,,"50,00 €",,"2,00 €",,,"8,22 €",,"50,00 €",,,,"27,62 €","1.767,30 €",,,,"1.962,34 €"
TOTAL,,,,,,"50,00 €",,,,,,,"7,20 €",,,,"50,00 €",,"2,00 €",,,"8,22 €",,"50,00 €",,,,"27,62 €","1.767,30 €",,,,"1.962,34 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,"9,00 €","2,30 €",,"14,09 €",,,,"9,50 €",,,,,,"20,00 €","5,80 €",,,,"16,15","16,50 €",,,,"14,93 €",,"21,50 €",,,,"129,77 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,"60,04 €",,,,,,,,"35,75 €",,"95,79 €"
,Entretenimiento,,,,,,,,,,,,,,"82,57 €",,,,,,,"13,00 €",,"10,28 €",,,,,,,,,"105,85 €"
,Tecnología,,,,,,,,,,,,,"2,99 €","12,99 €",,,,,,,,,"17,99 €",,,,,,,,,"33,97 €"
,Coche,,,"30,00 €",,,,,,,,,,,"30,00 €",,,,,,,"4,44 €","32,86 €",,,,,,"30,00 €",,,,"127,30 €"
,Moto,,,,,,,"11,08 €",,,,,,,,"9,34 €",,"11,91 €",,,,,,,,,,,,"12,08 €",,,"44,41 €"
,Piezas/Recambios,,,,,,"25,27 €",,,"738,42 €",,,,,,,,,,,,"108,56 €",,,,,,,,,,,"872,25 €"
,Salud,,,"13,00 €",,,,,,,,,,,,,,,,,,,"48,91 €",,,,,,,,,,"61,91 €"
TOTAL,,"0,00 €","0,00 €","52,00 €","2,30 €","0,00 €","39,36 €","11,08 €","0,00 €","738,42 €","9,50 €","0,00 €","0,00 €","2,99 €","125,56 €","9,34 €","20,00 €","17,71 €","0,00 €","0,00 €","0,00 €","142,15 €","158,31 €","28,27 €","0,00 €","0,00 €","14,93 €","0,00 €","51,50 €","12,08 €","35,75 €","0,00 €","1.471,25 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
