,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,"50,00 €",,"180,00 €",,"30,00 €","50,00 €",,"50,00 €",,,,,,"2,00 €","50,00 €",,,,,"400,00 €","12,00 €","50,00 €",,"3,60 €",,,,,,"50,00 €",,"927,60 €"
TOTAL,,"50,00 €",,"180,00 €",,"30,00 €","50,00 €",,"50,00 €",,,,,,"2,00 €","50,00 €",,,,,"400,00 €","12,00 €","50,00 €",,"3,60 €",,,,,,"50,00 €",,"927,60 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"1,50 €","1,50 €","1,50 €","4,84 €","7,20 €","7,65 €",,"1,50 €","1,50 €","1,50 €","1,50 €","1,50 €","13,50 €","23,00 €","4,35 €","5,70 €","9,50 €",,"8,20 €",,"14,10 €",,,"37,40 €","6,00 €","20,00 €",,,,,"173,44 €"
,Ropa,,,,,,,,,,,,,"37,82 €",,,,,,,,,,,,,,,,,,,"37,82 €"
,Entretenimiento,,,,,,,,,,,"28,63 €",,,,,,,"26,97 €",,"41,45 €",,,,"32,50 €",,,,,"4,99 €",,,"134,54 €"
,Tecnología,,,,,,,,,,,"2,99 €",,"11,99 €",,,,,,"232,20 €",,,,,,"17,99 €",,"5,99 €",,,,"41,49 €","312,65 €"
,Coche,,,,,,"30,00 €",,,,,,,,,,"32,00 €",,,,,"2,85 €",,,,,,,,"32,25 €",,,"97,10 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,"550,00 €",,,,"550,00 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,,,,,,,,,,,,,,,,,,,"12,00 €",,,,,,,,,,,,,"12,00 €"
TOTAL,,"0,00 €","1,50 €","1,50 €","1,50 €","4,84 €","37,20 €","7,65 €","0,00 €","1,50 €","1,50 €","33,12 €","1,50 €","51,31 €","13,50 €","23,00 €","36,35 €","5,70 €","36,47 €","244,20 €","49,65 €","2,85 €","14,10 €","0,00 €","32,50 €","55,39 €","6,00 €","25,99 €","550,00 €","37,24 €","0,00 €","41,49 €","1.317,55 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
