,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,"1,00 €",,"50,00 €","180,00 €",,,,"50,00 €",,,,,,,"50,00 €",,,,,,,,,,,,,"50,00 €",,"12,60 €",,"393,60 €"
TOTAL,,"1,00 €",,"50,00 €","180,00 €",,,,"50,00 €",,,,,,,"50,00 €",,,,,,,,,,,,,"50,00 €",,"12,60 €",,"393,60 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"2,00 €",,,,,,,"1,40 €",,"5,90 €","1,40 €","3,90 €",,,"1,40 €","1,40 €","3,90 €",,"5,09 €",,,,"2,80 €","2,15 €","3,05 €","2,90 €",,,"2,90 €","1,40 €","3,90 €","45,49 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,"33,08 €",,,,,,,,,,"33,08 €"
,Entretenimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Tecnología,"2,49 €",,,,,,,,,,"2,99 €",,,,,,,,,,,,,"17,99 €",,,,"10,73 €",,,"2,49 €","36,69 €"
,Coche,,,,,,,,"30,00 €",,,,,,,,,,,,,,"30,00 €",,,,,,,,,,"60,00 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Piezas/Recambios,,,,,,,,,,"58,44 €",,,,,,,,,,,,,,,,,,"19,28 €",,,,"77,72 €"
,Salud,,,,,,,,,,,,,,,,,"12,00 €",,,,,,,,,,,,,,,"12,00 €"
TOTAL,,"4,49 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","31,40 €","0,00 €","64,34 €","4,39 €","3,90 €","0,00 €","0,00 €","1,40 €","1,40 €","15,90 €","0,00 €","5,09 €","0,00 €","0,00 €","63,08 €","2,80 €","20,14 €","3,05 €","2,90 €","0,00 €","30,01 €","2,90 €","1,40 €","6,39 €","264,98 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
