,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Ingresos,Ingreso,,,,"50,00 €",,,,,,"50,00 €",,,"180,00 €","375,00 €",,,"50,00 €",,,,,,,"99,60 €","6,00 €","50,00 €",,,,"860,60 €"
TOTAL,,,,,"50,00 €",,,,,,"50,00 €",,,"180,00 €","375,00 €",,,"50,00 €",,,,,,,"99,60 €","6,00 €","50,00 €",,,,"860,60 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"1,40 €","5,30 €",,,"1,40 €","3,90 €","3,90 €","1,35 €","1,40 €","16,00 €",,,,,,"2,30 €",,,"2,75 €","1,40 €","1,40 €","6,30 €","1,40 €",,,"1,40 €","1,40 €","1,40 €",,"54,40 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,15 €",,"42,15 €"
,Entretenimiento,"65,00 €",,,,,,"14,00 €",,,"39,00 €",,"5,30 €","11,00 €",,,"8,00 €","4,95 €",,,,,,,,,,,,"6,99 €","154,24 €"
,Tecnología,,,,,,,,,,,,,"2,99 €","12,99 €",,,"17,41 €",,,,"70,74 €",,,"17,99 €",,,,,,"122,12 €"
,Coche,,,,,,,,"30,00 €",,,,,,,,,"35,00 €",,,,,,,,,,,,"30,00 €","95,00 €"
,Moto,,,,,,,,,,,,,,,,,,,,"19,81 €",,,,,,,,,,"19,81 €"
,Piezas/Recambios,,,,,,,,,,,,,,"10,34 €",,,,,,,,,,"53,97 €",,,,,,"64,31 €"
,Salud,,,,,,,,,,,,,,,,,,,,"12,00 €",,,,,,,,,,"12,00 €"
TOTAL,,"66,40 €","5,30 €","0,00 €","0,00 €","1,40 €","3,90 €","17,90 €","31,35 €","1,40 €","55,00 €","0,00 €","5,30 €","13,99 €","23,33 €","0,00 €","10,30 €","57,36 €","0,00 €","2,75 €","33,21 €","72,14 €","6,30 €","1,40 €","71,96 €","0,00 €","1,40 €","1,40 €","43,55 €","36,99 €","564,03 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
