,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,"50,00 €","3,60 €","180,00 €",,,,,"50,00 €",,,"30,00 €",,,,"50,00 €",,,,,"20,00 €",,,"6,00 €","6,00 €",,"490,68 €",,"10,00 €","3,60 €",,"886,28 €"
TOTAL,,,"50,00 €","3,60 €","180,00 €",,,,,"50,00 €",,,"30,00 €",,,,"50,00 €",,,,,"20,00 €",,,"6,00 €","6,00 €",,"490,68 €",,"10,00 €","3,60 €",,"886,28 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"24,00 €",,"1,40 €","3,70 €","6,38 €","1,40 €",,,,,"2,80 €",,,,,,,,,,"1,3",,"4,70 €","25,70 €","24,54 €","2,60 €","5,80 €",,,"9,00 €",,"113,32 €"
,Ropa,,,,,,,,,,,,,,,,,"54,45 €",,,,,,,,,"4,57 €",,,,,,"59,02 €"
,Entretenimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,20 €",,,"6,20 €"
,Tecnología,,,,,,,,,,,"26,68 €","2,99 €",,"12,99 €",,,,,"22,81 €","1,00 €",,,"71,44 €",,,"19,01 €",,,,,,"156,92 €"
,Coche,,,,,"2,00 €",,,,,,"10,00 €",,,,,,,,,,,,,,,,,,"25,00 €",,,"37,00 €"
,Moto,,,,"14,91 €",,,,,,"10,66 €",,,,,,,,,,,"11,02 €",,,"14,30 €",,,,,,"11,43 €",,"62,32 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,"5,47 €",,,,,,,,,,,,,,,"5,47 €"
,Salud,,,,,,,,,,,,,,,,,"12,00 €","33,00 €",,,,,,"1,00 €",,,,,,,"9,72 €","55,72 €"
TOTAL,,"24,00 €","0,00 €","1,40 €","18,61 €","8,38 €","1,40 €","0,00 €","0,00 €","0,00 €","10,66 €","39,48 €","2,99 €","0,00 €","12,99 €","0,00 €","0,00 €","71,92 €","33,00 €","22,81 €","1,00 €","12,32 €","0,00 €","76,14 €","41,00 €","24,54 €","26,18 €","5,80 €","0,00 €","31,20 €","20,43 €","9,72 €","495,97 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
