,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,"50,00 €",,,"180,00 €",,,,"50,00 €",,,,,,,"50,00 €",,,,"487,12 €",,"44,71 €","45,00 €",,,"50,00 €","6,00 €",,,"20,00 €","982,83 €"
TOTAL,,,,"50,00 €",,,"180,00 €",,,,"50,00 €",,,,,,,"50,00 €",,,,"487,12 €",,"44,71 €","45,00 €",,,"50,00 €","6,00 €",,,"20,00 €","982,83 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"1,40 €","35,23 €",,"1,40 €","1,40 €","1,40 €","1,40 €","23,70 €",,,"4,35 €","1,4","1,40 €","2,80 €","1,40 €","21,50 €",,"1,40 €",,"1,40 €",,,"18,00 €",,,"20,00 €",,,,,,"139,58 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,,,,"6,99 €",,,,"16,98 €",,,,,,"11,99 €",,,,,,,,,,,,,,,"12,30 €",,"48,26 €"
,Tecnología,,"2,49 €",,,,,,,,,,,,,,,,,,"11,99 €",,,,,,"17,99 €",,"39,06 €",,,,"71,53 €"
,Coche,,"3,65 €",,,,,,,,,,"30,00 €",,,,,,,,,"31,99 €",,,,,,,,,,,"65,64 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,,"17,27 €",,,,,,,,"17,27 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,"78,04 €",,,,,"42,76 €",,,,"120,80 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
TOTAL,,"1,40 €","41,37 €","0,00 €","1,40 €","8,39 €","1,40 €","1,40 €","23,70 €","16,98 €","0,00 €","4,35 €","31,40 €","1,40 €","2,80 €","13,39 €","21,50 €","0,00 €","1,40 €","0,00 €","13,39 €","31,99 €","0,00 €","96,04 €","17,27 €","0,00 €","37,99 €","0,00 €","81,82 €","0,00 €","12,30 €","0,00 €","463,08 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
