,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,,,"50,00 €",,"180,00 €",,,,,"50,00 €",,,,,,,"50,00 €",,,"70,00 €","6,00 €","10,00 €",,"56,00 €",,,,,"15,00 €","487,00 €"
TOTAL,,,,,,"50,00 €",,"180,00 €",,,,,"50,00 €",,,,,,,"50,00 €",,,"70,00 €","6,00 €","10,00 €",,"56,00 €",,,,,"15,00 €","487,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"1,40 €","1,40 €","1,40 €",,,"1,40 €","1,40 €","2,80 €","10,77 €","6,55 €","12,40 €",,"1,40 €","2,80 €","3,39 €","1,40 €","17,90 €","2,00 €",,,"1,4",,"6,20 €",,,,"1,40 €","1,40 €","1,30 €","4,20 €","10,50 €","94,81 €"
,Ropa,,,,,,,,,,,,,,,,,,,,"29,08 €",,,,,,,,,,,"22,95 €","52,03 €"
,Entretenimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Tecnología,"2,49 €",,"17,94 €",,,,,,,,"2,99 €",,,"2,81 €","12,99 €",,,,,,"4,49 €",,,"17,99 €",,,,,,,"2,49 €","64,19 €"
,Coche,,,,,,,,,,,,,"30,00 €",,,,,,,,"30,00 €",,,,,,,,,"30,00 €",,"90,00 €"
,Moto,,,,,,,"12,67 €",,,"14,25 €",,,,,,,,,,,,,,"13,03 €",,,"1,50 €",,,,,"41,45 €"
,Piezas/Recambios,,,,,,,,"69,98 €",,,,,,"16,10 €",,,,,,,,,,,,,,,,,,"86,08 €"
,Salud,,,,,,,,,"12,00 €",,,,,,,,,,,,,,,,,,,,,"18,64 €",,"30,64 €"
TOTAL,,"3,89 €","1,40 €","19,34 €","0,00 €","0,00 €","1,40 €","14,07 €","72,78 €","22,77 €","20,80 €","15,39 €","0,00 €","31,40 €","21,71 €","16,38 €","1,40 €","17,90 €","2,00 €","0,00 €","29,08 €","35,89 €","0,00 €","6,20 €","31,02 €","0,00 €","0,00 €","2,90 €","1,40 €","1,30 €","52,84 €","35,94 €","459,20 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
