,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Ingresos,Ingreso,,,"50,00 €",,"180,00 €",,"5,00 €",,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"385,00 €"
TOTAL,,,,"50,00 €",,"180,00 €",,"5,00 €",,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"385,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"4,30 €","12,60 €","17,90 €","1,50 €","1,50 €","11,40 €","6,10 €","11,40 €",,"2,80 €","1,50 €","3,00 €","1,50 €","9,00 €",,"5,80 €","1,50 €","1,50 €","1,50 €","1,50 €","1,50 €","29,00 €",,"1,50 €","4,10 €","1,50 €","23,30 €","1,50 €","15,83 €","174,53 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,,,,,,,"65,00 €","12,38 €",,,,,,,,,,,,,,,,,,,,,,"77,38 €"
,Tecnología,,,,,,,,,"2,99 €",,,,"11,27 €",,,,,,,,,,,,"2,30 €","4,38 €",,,,,"20,94 €"
,Coche,,,,"0,40 €",,"30,00 €",,,"5,00 €",,,,,,,,"35,00 €",,,,,,,,,,,,"30,00 €",,"100,40 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,,,,"12,97 €",,,,,"12,97 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,"11,00 €",,,,,"9,95 €",,,"20,95 €"
TOTAL,,"0,00 €","4,30 €","12,60 €","18,30 €","1,50 €","31,50 €","11,40 €","71,10 €","31,77 €","0,00 €","2,80 €","1,50 €","14,27 €","1,50 €","9,00 €","0,00 €","40,80 €","1,50 €","1,50 €","1,50 €","1,50 €","1,50 €","40,00 €","0,00 €","3,80 €","21,45 €","1,50 €","33,25 €","31,50 €","15,83 €","407,17 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
