,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,Jueves,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,"230,00 €",,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,"430,00 €"
TOTAL,,,,"230,00 €",,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,"430,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"1,40 €","2,80 €","1,40 €","1,40 €",,,"8,60 €","1,40 €","1,40 €","1,40 €","1,40 €","36,35 €",,"1,40 €","1,40 €","1,40 €","1,40 €","6,30 €","4,50 €",,"2,9","7,57 €","1,40 €","1,40 €","1,40 €","21,40 €","8,40 €","1,40 €","2,80 €","1,50 €",,"124,12 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,"2,39 €","1,99 €",,,,,,,"4,38 €"
,Coche,,,,,,,"30,00 €",,,,,"2,05 €",,,,,,,"32,05 €",,,,,,,,,,"30,00 €",,,"94,10 €"
,Moto,,,,,,,,,,"13,05 €",,,,,,,,,,,,,,,,,,,,,,"13,05 €"
,Piezas/Recambios,,,"234,00 €",,,,,,,,"107,96 €",,,,,,,,,,,,,,,,,,,,,"341,96 €"
,Salud,,,,,,,,,,"12,00 €",,,,,,,"12,00 €",,,,,,,,,,,,,,"10,00 €","34,00 €"
TOTAL,,"1,40 €","2,80 €","235,40 €","1,40 €","0,00 €","0,00 €","38,60 €","1,40 €","1,40 €","26,45 €","109,36 €","38,40 €","0,00 €","1,40 €","1,40 €","1,40 €","13,40 €","6,30 €","36,55 €","0,00 €","2,90 €","7,57 €","1,40 €","3,79 €","3,39 €","21,40 €","8,40 €","1,40 €","32,80 €","1,50 €","10,00 €","611,61 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
