,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,,,,"50,00 €",,,,,,"50,00 €",,,,,"107,57 €",,,"50,00 €","12,00 €","0,25 €",,,,,,,"50,00 €","3,60 €",,"323,42 €"
TOTAL,,,,,,,"50,00 €",,,,,,"50,00 €",,,,,"107,57 €",,,"50,00 €","12,00 €","0,25 €",,,,,,,"50,00 €","3,60 €",,"323,42 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,"5,80 €",,,"5,40 €",,"7,20 €",,"4,00 €",,"1,40 €","18,20 €",,,"6,40 €","1,40 €","15,03 €","2,90 €",,,42,"1,40 €","1,40 €","3,00 €","1,40 €","2,80 €","5,80 €",,"2,80 €",,"128,33 €"
,Ropa,"20,00 €",,,,,,,,,,,,"159,07 €",,,,,,,,,,,,,,,,,,,"179,07 €"
,Entretenimiento,,,,,,,,,,"51,72 €",,,,,,"3,28 €",,"10,39 €","15,00 €",,"89,99 €",,,,,,,,,,,"170,38 €"
,Tecnología,"2,48 €",,,,,,,,,,"2,99 €",,,"12,99 €",,,,,,,,,,,"19,98 €",,,,,,,"38,44 €"
,Coche,,"1,00 €",,,,,,,"30,00 €","0,25 €",,,,,,,"30,00 €",,,,,"8,20 €",,,,,,,,,,"69,45 €"
,Moto,,,,,,,,,,,,,,,,"9,68 €",,,,,,,,,,,,,,,,"9,68 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,,,,"6,64 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,64 €"
TOTAL,,"22,48 €","1,00 €","5,80 €","6,64 €","0,00 €","5,40 €","0,00 €","7,20 €","30,00 €","55,97 €","2,99 €","1,40 €","177,27 €","12,99 €","0,00 €","19,36 €","31,40 €","25,42 €","17,90 €","0,00 €","89,99 €","50,20 €","1,40 €","1,40 €","22,98 €","1,40 €","2,80 €","5,80 €","0,00 €","2,80 €","0,00 €","601,99 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
