,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Viernes,Sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,"1.079,63 €",,,,"50,00 €","1.329,63 €"
TOTAL,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,"1.079,63 €",,,,"50,00 €","1.329,63 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,,,,,,,,"5,10 €",,,"3,3",,,,,,,,,,,"8,40 €"
,Ropa,,,,,,,,,,,,,"39,08 €",,,,,,,,,,,,,,,,,,,"39,08 €"
,Entretenimiento,"25,00 €",,"10,12 €","20,20 €",,,,"29,80 €",,,,"3,90 €","9,65 €",,,,"19,50 €","28,06 €",,"1,21","15,00 €",,,,,,,,,,,"162,44 €"
,Tecnología,,,,,,,,,,,,,"23,79 €",,,"29,59 €","129,00 €",,,,"17,97 €",,,,,"2,79 €",,,,,,"203,14 €"
,Coche,,,"30,00 €",,,,,,"0,90 €",,,,"1,50 €",,"30,00 €",,,,,,"12,55 €",,,,,,"35,00 €",,,,,"109,95 €"
,Moto,,,,"12,56 €",,,,,,,"14,27 €",,,,,,,,,,,,"16,93 €",,,,,,,,,"43,76 €"
,Piezas/Recambios,,,,,,,,"12,95 €",,,,,,,,,,,,,,,,,,,,"21,15 €",,,"4,50 €","38,60 €"
,Salud,,,,,,"5,00 €",,,"12,00 €",,,,,,,,,,,,,,,,,,,,,,,"17,00 €"
TOTAL,,"25,00 €","0,00 €","40,12 €","32,76 €","0,00 €","5,00 €","0,00 €","42,75 €","12,90 €","0,00 €","14,27 €","3,90 €","74,02 €","0,00 €","30,00 €","29,59 €","148,50 €","33,16 €","0,00 €","1,21 €","48,82 €","0,00 €","16,93 €","0,00 €","0,00 €","2,79 €","35,00 €","21,15 €","0,00 €","0,00 €","4,50 €","622,37 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
