,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lunes,Martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,"30,00 €","100,00 €",,"20,00 €","50,00 €",,,,,,,"50,00 €",,"92,00 €",,,,,,"50,00 €",,,,,,"50,00 €",,,,"442,00 €"
TOTAL,,,,"30,00 €","100,00 €",,"20,00 €","50,00 €",,,,,,,"50,00 €",,"92,00 €",,,,,,"50,00 €",,,,,,"50,00 €",,,,"442,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,"-4,05 €",,,,,,,,,,,,,,,,,,,,,,"-4,05 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,"16,09 €","15,90 €",,,,,,,,,"31,99 €"
,Entretenimiento,,"4,80 €",,,"3,30 €",,"10,00 €",,,,"25,00 €","71,50 €","34,00 €","25,00 €",,,"3,40 €",,"22,60 €",,,,,,,"11,30 €",,,,"4,70 €",,"215,60 €"
,Tecnología,,,,,,,,,,"2,99 €","2,50 €",,,,,,,,,,,,"12,99 €","3,50 €",,"47,78 €",,,,,,"69,76 €"
,Coche,,,,,,"45,00 €",,,,,,,,,,,,,,,,"40,00 €",,,,,,,,,,"85,00 €"
,Moto,,,,,"-4,14 €",,,,,,,,,,,,,,,,,,,,,,,,,,"111,57 €","107,43 €"
,Piezas/Recambios,,,,,,,,,,,,,,,"31,90 €",,,,,,,,,,,,,,,,,"31,90 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
TOTAL,,"0,00 €","4,80 €","0,00 €","0,00 €","-0,84 €","45,00 €","10,00 €","0,00 €","0,00 €","-1,06 €","27,50 €","71,50 €","34,00 €","25,00 €","31,90 €","0,00 €","3,40 €","0,00 €","22,60 €","0,00 €","0,00 €","56,09 €","28,89 €","3,50 €","0,00 €","59,08 €","0,00 €","0,00 €","0,00 €","4,70 €","111,57 €","537,63 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
