,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Miércoles,Jueves,Viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,,,"50,00 €","60,00 €",,,"180,00 €",,,"50,00 €",,,,,,,,,,,,,,"50,00 €",,,,,,"390,00 €"
TOTAL,,,,,,"50,00 €","60,00 €",,,"180,00 €",,,"50,00 €",,,,,,,,,,,,,,"50,00 €",,,,,,"390,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,"23,90 €",,,"1,50 €",,,"1,50 €","1,50 €",,,,"24,80 €",,"1,50 €","1,5","1,50 €","1,50 €",,,,"1,50 €","1,70 €","1,50 €","1,50 €","1,50 €","66,90 €"
,Ropa,,,,,,,,,"68,88 €",,"20,95 €",,,,,,,,,,,,,,,,,,,,,"89,83 €"
,Entretenimiento,"16,81 €",,,"13,70 €",,,,,"1,50 €",,,,,,,"13,00 €","5,90 €","35,00 €",,,,,,"34,10 €","19,50 €",,,"21,15 €",,,,"160,66 €"
,Tecnología,,,,,,,,,"2,99 €",,,,"7,95 €",,,,,,,,,,"-1,21 €","25,00 €","13,54 €",,,,,,,"48,27 €"
,Coche,"0,55 €",,,,,,"30,45 €",,,,"0,80 €",,,,,,"30,00 €",,,,,,,"30,00 €",,,,,,,,"91,80 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,"15,54 €",,,,,,,,,"15,54 €"
,Piezas/Recambios,,,,,,,,,,,,,,,"58,72 €",,,,,,,,,,,,,,,,,"58,72 €"
,Salud,,,,,,,,,,,,,,,,"12,00 €",,,,,,,,,,,,,,,,"12,00 €"
TOTAL,,"17,36 €","0,00 €","0,00 €","13,70 €","0,00 €","0,00 €","54,35 €","0,00 €","73,37 €","1,50 €","21,75 €","0,00 €","9,45 €","1,50 €","58,72 €","25,00 €","35,90 €","59,80 €","0,00 €","1,50 €","1,50 €","1,50 €","15,83 €","89,10 €","33,04 €","0,00 €","1,50 €","22,85 €","1,50 €","1,50 €","1,50 €","543,72 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
