,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sábado,Domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Ingresos,Ingreso,,"50,00 €",,"180,00 €",,,,"50,00 €","50,00 €","19,00 €",,,,,"50,00 €",,,,,,"37,70 €","50,00 €","50,00 €","100,00 €",,,,,,"636,70 €"
TOTAL,,,"50,00 €",,"180,00 €",,,,"50,00 €","50,00 €","19,00 €",,,,,"50,00 €",,,,,,"37,70 €","50,00 €","50,00 €","100,00 €",,,,,,"636,70 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"0,50 €",,"1,50 €",,"1,50 €","1,50 €","1,50 €",,,"3,00 €","1,50 €","1,50 €","1,50 €","11,50 €",,,"1,50 €","3,00 €","1,50 €","1,50 €",,,,"1,50 €","1,50 €","1,50 €","4,50 €","1,50 €",,"43,50 €"
,Ropa,,,,,,,,,,,,"25,00 €",,,,,,,,,"60,08 €",,,,,,,,,"85,08 €"
,Entretenimiento,"5,40 €",,,,"13,45 €","20,01 €",,"8,40 €","9,80 €",,,,,"5,80 €","30,00 €",,,,"5,50 €","3,99 €",,"27,30 €",,,,,"18,33 €",,,"147,98 €"
,Tecnología,"16,99 €",,"7,89 €",,"14,45 €",,,,,"3,30 €","2,99 €",,,,,,,,,,"13,90 €",,,,,"2,39 €",,,,"61,91 €"
,Coche,,,,,"35,00 €",,,,,"30,90 €",,,,"0,50 €",,,,,,"30,00 €",,,,,,,,"30,00 €",,"126,40 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,,,,,,,,,,,,,"12,00 €",,,,,,,,,,,,,,,,,"12,00 €"
TOTAL,,"22,89 €","0,00 €","9,39 €","0,00 €","64,40 €","21,51 €","1,50 €","8,40 €","9,80 €","37,20 €","4,49 €","26,50 €","13,50 €","17,80 €","30,00 €","0,00 €","1,50 €","3,00 €","7,00 €","35,49 €","73,98 €","27,30 €","0,00 €","1,50 €","1,50 €","3,89 €","22,83 €","31,50 €","0,00 €","476,87 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
