,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Martes,Miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,"62,00 €",,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,"975,69 €",,,"1.237,69 €"
TOTAL,,,"62,00 €",,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €",,"975,69 €",,,"1.237,69 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,"5,79 €","4,40 €",,"11,20 €",,"18,79 €",,"13,62 €",,,,"4,70 €",,,,"10,00 €","3,50 €","4,70 €","4,70 €",,,,"6,80 €",,,,,,,"7,20 €","95,40 €"
,Tecnología,,,,,,,,"2,99 €",,,,,,,,"6,00 €","129,25 €",,,,,"-13,98 €",,"5,90 €",,,,,,,,"130,16 €"
,Coche,,,"0,20 €","5,70 €","0,25 €",,"38,55 €","0,55 €",,,,,,,,,,,,"30,00 €",,,,,,,,"40,00 €",,,,"115,25 €"
,Moto,,,,"14,62 €",,,,,,,,,,,,,"14,01 €",,,,,,,,,,,,,,,"28,63 €"
,Piezas/Recambios,,,,,,,,,,,"231,94 €",,,,,,,,,,,,,,,,,,,,,"231,94 €"
,Salud,,,,,,,,,,,,,,,,,"1,12 €",,,,,,,,,,,,,,,"1,12 €"
TOTAL,,"0,00 €","5,79 €","4,60 €","20,32 €","11,45 €","0,00 €","57,34 €","3,54 €","13,62 €","0,00 €","231,94 €","0,00 €","4,70 €","0,00 €","0,00 €","6,00 €","154,38 €","3,50 €","4,70 €","34,70 €","0,00 €","-13,98 €","0,00 €","12,70 €","0,00 €","0,00 €","0,00 €","40,00 €","0,00 €","0,00 €","7,20 €","602,50 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
