,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,"50,00 €",,"180,00 €",,,,"40,00 €","50,00 €",,,,,,,,,,"150,00 €","20,00 €",,,,"50,00 €",,,,,,"50,00 €",,,"540,00 €"
TOTAL,,"50,00 €",,"180,00 €",,,,"40,00 €","50,00 €",,,,,,,,,,"150,00 €","20,00 €",,,,"50,00 €",,,,,,"50,00 €",,,"540,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,"24,00 €",,,,,,,"4,85 €",,,,,,,,,,,,,,"28,85 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,,,,,,"15,50 €","7,55 €",,,,,,"61,10 €",,,,,,"5,80 €",,,"31,40 €","37,00 €","1,88 €","19,90 €","3,00 €","10,00 €",,,,"193,13 €"
,Tecnología,,,,,,,,,,,"3,00 €",,"1,80 €",,,,,,,"129,25 €","62,75 €",,,,"5,99 €",,,,,,,"202,79 €"
,Coche,,,,,,,,,,,"30,00 €",,,"0,20 €",,,,,"0,40 €","40,00 €","0,60 €",,"0,50 €","0,45 €","35,00 €",,,"0,15 €",,,,"107,30 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,02 €",,,"15,02 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,"67,95 €",,,,,,"3,00 €",,,,"40,80 €","30,00 €",,,,"141,75 €"
,Salud,,,,,,,,,,,,,,,,,,,,"13,00 €",,,"54,00 €",,,,,,,,,"67,00 €"
TOTAL,,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","15,50 €","7,55 €","0,00 €","0,00 €","57,00 €","0,00 €","1,80 €","61,30 €","0,00 €","0,00 €","67,95 €","4,85 €","0,40 €","188,05 €","63,35 €","0,00 €","88,90 €","37,45 €","42,87 €","19,90 €","43,80 €","40,15 €","15,02 €","0,00 €","0,00 €","755,84 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
