,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sábado,Domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,"53,60 €",,"180,00 €",,"60,00 €",,,,"50,00 €",,,,,"20,00 €",,,,,,,,"50,00 €","45,00 €",,,"555,22 €",,,,"20,00 €",,"1.033,82 €"
TOTAL,,"53,60 €",,"180,00 €",,"60,00 €",,,,"50,00 €",,,,,"20,00 €",,,,,,,,"50,00 €","45,00 €",,,"555,22 €",,,,"20,00 €",,"1.033,82 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,"6,93 €",,,"1,50 €","1,50 €",,,"1,50 €","8,92 €","1,50 €","1,50 €","1,50 €",,,"1,50 €","1,50 €","1,50 €","1,50 €","1,50 €",,,,"1,10 €","5,28 €","8,49 €",,,,,"47,22 €"
,Ropa,,,,,,,,"143,75 €",,"105,98 €",,,,,,,,,,,,,"118,00 €",,,,,,,,,"367,73 €"
,Entretenimiento,"22,30 €",,,,,,,,"9,00 €",,,,,"39,20 €",,,,,"5,40 €","2,60 €","35,13 €",,"4,70 €",,,"28,33 €","12,00 €",,,"14,30 €",,"172,96 €"
,Tecnología,,,,,,,,,,"2,99 €","52,64 €",,,,,,,,,,,,,,,"2,99 €",,,,,,"58,62 €"
,Coche,,,,,,,,,"35,00 €",,,,,,,,,,,,"30,00 €",,,"0,95 €","6,34 €",,,,"2,15 €",,,"74,44 €"
,Moto,,,,,,,,,,,,,,,,,,"14,41 €",,"5,00 €",,,,,,,,,,,,"19,41 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,"12,00 €",,,,,,"12,00 €"
TOTAL,,"22,30 €","0,00 €","6,93 €","0,00 €","0,00 €","1,50 €","1,50 €","143,75 €","44,00 €","110,47 €","61,56 €","1,50 €","1,50 €","40,70 €","0,00 €","0,00 €","1,50 €","15,91 €","6,90 €","9,10 €","66,63 €","0,00 €","122,70 €","0,95 €","7,44 €","48,60 €","20,49 €","0,00 €","2,15 €","14,30 €","0,00 €","752,38 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
