,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,martes,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,,"290,00 €",,,,,,,,,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,"20,00 €","410,00 €"
TOTAL,,,,,"290,00 €",,,,,,,,,,,,,,"50,00 €",,,,,,,"50,00 €",,,,,,"20,00 €","410,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,"10,47 €",,,,,,,"21,90 €",,,"5,80 €",,,,,,,,,,"9,44 €",,"6,60 €","20,00 €",,,"74,21 €"
,Ropa,,,,,,,,,,,,,,,,,,"20,00 €",,,,,,,,,,,,,,"20,00 €"
,Entretenimiento,,,"6,90 €",,"3,69 €","20,95 €","45,41 €",,"60,24 €",,,,,,,,"4,50 €","14,50 €",,,,,"22,77 €","6,32 €",,,"37,00 €","7,57 €","53,79 €",,"11,80 €","295,44 €"
,Tecnología,,,,,,"6,99 €","45,41 €",,"2,99 €",,,,,,,"13,23 €",,,,,,,"5,99 €",,,,"12,47 €",,,,,"87,08 €"
,Coche,,,"7,80 €","35,00 €",,"0,25 €",,,,,,,,"30,00 €",,,"0,15 €","3,00 €",,,,,"30,00 €",,,,,,,,,"106,20 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,,,"7,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,00 €"
TOTAL,,"0,00 €","0,00 €","21,70 €","35,00 €","3,69 €","38,66 €","90,82 €","0,00 €","63,23 €","0,00 €","0,00 €","0,00 €","21,90 €","30,00 €","0,00 €","19,03 €","4,65 €","37,50 €","0,00 €","0,00 €","0,00 €","0,00 €","58,76 €","6,32 €","0,00 €","9,44 €","49,47 €","14,17 €","73,79 €","0,00 €","11,80 €","589,93 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
