,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sábado,Domingo,Lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Ingresos,Ingreso,,"50,00 €",,,,,,"20,00 €","50,00 €",,,,"50,00 €",,"25,00 €","50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €","295,00 €"
TOTAL,,,"50,00 €",,,,,,"20,00 €","50,00 €",,,,"50,00 €",,"25,00 €","50,00 €",,,,,,,"50,00 €",,,,,,,"50,00 €","295,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,,,,,,,,,,,,,"37,59 €","26,50 €","26,10 €","10,10 €",,,,,"100,29 €"
,Ropa,,,,,,,,,,,"6,15 €",,,,,,,,,,,,,,,,,,,,"6,15 €"
,Entretenimiento,,,,,,"25,40 €",,"16,30 €","1,50 €",,,"2,85 €",,"24,60 €",,"10,00 €",,"12,90 €","1,29 €","11,30 €",,"360,00 €","52,50 €","10,00 €","9,75 €",,,"24,90 €",,"-3,78 €","559,51 €"
,Tecnología,,,,,,,,,,"3,00 €","2,99 €","79,99 €",,,,,,"26,16 €",,,,,,,"8,00 €",,,,,,"120,14 €"
,Coche,,,,,,"30,00 €",,,,,,,,"0,90 €",,,,,,,,,,,,,,"0,25 €","30,00 €",,"61,15 €"
,Moto,,,,,,,,,,,,,,,,,"14,54 €",,,,,,,,,,,,,,"14,54 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,"1,00 €",,,,,,"9,95 €","10,95 €"
TOTAL,,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","55,40 €","0,00 €","16,30 €","1,50 €","3,00 €","9,14 €","82,84 €","0,00 €","25,50 €","0,00 €","10,00 €","14,54 €","39,06 €","1,29 €","11,30 €","0,00 €","360,00 €","90,09 €","37,50 €","43,85 €","10,10 €","0,00 €","25,15 €","30,00 €","6,17 €","872,73 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
