,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Miércoles,Jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,"18,00 €",,,"10,00 €","50,00 €",,,,,,,"50,00 €",,,,,,,,"30,00 €","48,00 €",,,,,"50,00 €",,,,,,"256,00 €"
TOTAL,,"18,00 €",,,"10,00 €","50,00 €",,,,,,,"50,00 €",,,,,,,,"30,00 €","48,00 €",,,,,"50,00 €",,,,,,"256,00 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,,,,,,,,,,"2,66 €",,,,,,,,,,"23,90 €",,"26,56 €"
,Ropa,,,,,,,,,,,,,,,,"9,98 €",,,,,,,,,,,,,,,,"9,98 €"
,Entretenimiento,"4,20 €","170,00 €",,"12,51 €","4,95 €","2,42 €","5,00 €",,,"9,20 €",,"19,40 €",,,"3,00 €","10,80 €",,"4,10 €",,"29,05 €","4,40 €",,,"12,00 €",,"9,33 €","16,10 €",,,"3,50 €",,"319,96 €"
,Tecnología,,,,"2,60 €",,,,,"2,99 €",,,,,,,,,,,,,,,,,,,,,,"15,82 €","21,41 €"
,Coche,,,,,,,,,,,"35,00 €",,,,,,"0,45 €",,,"0,65 €","1,85 €",,,"35,00 €",,,,,,,"0,75 €","73,70 €"
,Moto,"14,19 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,19 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
TOTAL,,"18,39 €","170,00 €","0,00 €","15,11 €","4,95 €","2,42 €","5,00 €","0,00 €","2,99 €","9,20 €","35,00 €","19,40 €","0,00 €","0,00 €","3,00 €","20,78 €","0,45 €","4,10 €","0,00 €","32,36 €","6,25 €","0,00 €","0,00 €","47,00 €","0,00 €","9,33 €","16,10 €","0,00 €","0,00 €","27,40 €","16,57 €","465,80 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
