,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lunes,Martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,,,,,,,,,,,,,,,,"1.059,86 €",,,,,,,,,,"50,00 €",,,"70,00 €","1.179,86 €"
TOTAL,,,,,,,,,,,,,,,,,,,"1.059,86 €",,,,,,,,,,"50,00 €",,,"70,00 €","1.179,86 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,,,,,,,"2,70 €",,,,,,,,,,,,,,,"2,70 €"
,Ropa,,,,,,,,,,,,"20,00 €",,,,,,,,,,"85,00 €",,,,,,,,,,"105,00 €"
,Entretenimiento,"38,70 €","122,50 €","8,10 €",,,,,,"3,50 €","14,44 €","3,25 €",,,,"6,60 €",,"30,00 €",,,"2,35 €",,"30,90 €","19,40 €",,,,"6,40 €",,,,,"286,14 €"
,Tecnología,,"14,99 €",,,,,,,,,,,"14,24 €",,,"14,99 €",,,"14,99 €",,,,,"6,59 €",,,,,,,,"65,80 €"
,Coche,"1,50 €","1,00 €",,"40,00 €",,,,,,,,"0,01 €",,,,"30,00 €",,,,"0,25 €",,,,,,,,,"30,00 €",,,"102,76 €"
,Moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,80 €",,,"34,80 €"
,Salud,"13,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,00 €"
TOTAL,,"53,20 €","138,49 €","8,10 €","40,00 €","0,00 €","0,00 €","0,00 €","0,00 €","3,50 €","14,44 €","3,25 €","20,01 €","14,24 €","0,00 €","6,60 €","44,99 €","32,70 €","0,00 €","14,99 €","2,60 €","0,00 €","115,90 €","19,40 €","6,59 €","0,00 €","0,00 €","6,40 €","0,00 €","64,80 €","0,00 €","0,00 €","610,20 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
