"Fecha","Tipo","Categoría","Descripción","Importe","Compromiso","Estado"
"11/01/2023","Gasto","Ropa","Ropa","15,00","Variable","Pagado"
"21/01/2023","Gasto","Ropa","Ropa","49,99","Variable","Pagado"
"03/01/2023","Gasto","Ocio","Entretenimiento","9,65","Variable","Pagado"
"07/01/2023","Gasto","Ocio","Entretenimiento","3,00","Variable","Pagado"
"14/01/2023","Gasto","Ocio","Entretenimiento","104,98","Variable","Pagado"
"04/01/2023","Gasto","Tecnología","Tecnología","8,36","Variable","Pagado"
"25/01/2023","Gasto","Tecnología","Tecnología","18,98","Variable","Pagado"
"27/01/2023","Gasto","Tecnología","Tecnología","35,00","Variable","Pagado"
"29/01/2023","Gasto","Tecnología","Tecnología","11,84","Variable","Pagado"
"30/01/2023","Gasto","Coche","Coche","27,78","Variable","Pagado"
"11/01/2023","Gasto","Salud","Salud","10,00","Variable","Pagado"
"31/01/2023","Gasto","Salud","Salud","4,12","Variable","Pagado"
"10/02/2023","Gasto","Ropa","Ropa","15,00","Variable","Pagado"
"01/02/2023","Gasto","Ocio","Entretenimiento","11,84","Variable","Pagado"
"06/02/2023","Gasto","Ocio","Entretenimiento","1,00","Variable","Pagado"
"11/02/2023","Gasto","Ocio","Entretenimiento","1,37","Variable","Pagado"
"13/02/2023","Gasto","Ocio","Entretenimiento","10,35","Variable","Pagado"
"16/02/2023","Gasto","Ocio","Entretenimiento","2,50","Variable","Pagado"
"17/02/2023","Gasto","Ocio","Entretenimiento","12,00","Variable","Pagado"
"18/02/2023","Gasto","Ocio","Entretenimiento","6,55","Variable","Pagado"
"21/02/2023","Gasto","Ocio","Entretenimiento","31,20","Variable","Pagado"
"28/02/2023","Gasto","Ocio","Entretenimiento","29,99","Variable","Pagado"
"08/02/2023","Gasto","Tecnología","Tecnología","148,82","Variable","Pagado"
"09/02/2023","Gasto","Tecnología","Tecnología","39,99","Variable","Pagado"
"10/02/2023","Gasto","Tecnología","Tecnología","13,99","Variable","Pagado"
"22/02/2023","Gasto","Tecnología","Tecnología","29,99","Variable","Pagado"
"23/02/2023","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"24/02/2023","Gasto","Tecnología","Tecnología","15,99","Variable","Pagado"
"11/02/2023","Gasto","Coche","Coche","15,00","Variable","Pagado"
"12/02/2023","Gasto","Coche","Coche","18,00","Variable","Pagado"
"15/02/2023","Gasto","Coche","Coche","20,00","Variable","Pagado"
"18/02/2023","Gasto","Coche","Coche","32,26","Variable","Pagado"
"24/02/2023","Gasto","Coche","Coche","20,00","Variable","Pagado"
"01/02/2023","Gasto","Salud","Salud","10,00","Variable","Pagado"
