"Fecha","Tipo","Categoría","Descripción","Importe","Compromiso","Estado"
"05/01/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"06/01/2025","Ingreso","Billetazo","Bizum","60,00","Variable","Pagado"
"09/01/2025","Ingreso","Billetazo","Bizum","180,00","Variable","Pagado"
"12/01/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"26/01/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"07/01/2025","Gasto","Ocio","Comida","23,90","Variable","Pagado"
"10/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"13/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"14/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"18/01/2025","Gasto","Ocio","Comida","24,80","Variable","Pagado"
"20/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"21/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"22/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"23/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"27/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"28/01/2025","Gasto","Ocio","Comida","1,70","Variable","Pagado"
"29/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"30/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"31/01/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"09/01/2025","Gasto","Ropa","Ropa","68,88","Variable","Pagado"
"11/01/2025","Gasto","Ropa","Ropa","20,95","Variable","Pagado"
"01/01/2025","Gasto","Ocio","Entretenimiento","16,81","Variable","Pagado"
"04/01/2025","Gasto","Ocio","Entretenimiento","13,70","Variable","Pagado"
"09/01/2025","Gasto","Ocio","Entretenimiento","1,50","Variable","Pagado"
"16/01/2025","Gasto","Ocio","Entretenimiento","13,00","Variable","Pagado"
"17/01/2025","Gasto","Ocio","Entretenimiento","5,90","Variable","Pagado"
"18/01/2025","Gasto","Ocio","Entretenimiento","35,00","Variable","Pagado"
"24/01/2025","Gasto","Ocio","Entretenimiento","34,10","Variable","Pagado"
"25/01/2025","Gasto","Ocio","Entretenimiento","19,50","Variable","Pagado"
"28/01/2025","Gasto","Ocio","Entretenimiento","21,15","Variable","Pagado"
"09/01/2025","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"13/01/2025","Gasto","Tecnología","Tecnología","7,95","Variable","Pagado"
"23/01/2025","Gasto","Tecnología","Tecnología","1,21","Variable","Pagado"
"24/01/2025","Gasto","Tecnología","Tecnología","25,00","Variable","Pagado"
"25/01/2025","Gasto","Tecnología","Tecnología","13,54","Variable","Pagado"
"01/01/2025","Gasto","Coche","Coche","0,55","Variable","Pagado"
"07/01/2025","Gasto","Coche","Coche","30,45","Variable","Pagado"
"11/01/2025","Gasto","Coche","Coche","0,80","Variable","Pagado"
"17/01/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"24/01/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"23/01/2025","Gasto","Moto","Moto","15,54","Variable","Pagado"
"15/01/2025","Gasto","Recambios","Recambios","58,72","Variable","Pagado"
"16/01/2025","Gasto","Salud","Salud","12,00","Variable","Pagado"
"02/02/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"04/02/2025","Ingreso","Billetazo","Bizum","180,00","Variable","Pagado"
"08/02/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"09/02/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"10/02/2025","Ingreso","Billetazo","Bizum","19,00","Variable","Pagado"
"15/02/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"21/02/2025","Ingreso","Billetazo","Bizum","37,70","Variable","Pagado"
"22/02/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"23/02/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"24/02/2025","Ingreso","Billetazo","Bizum","100,00","Variable","Pagado"
"01/02/2025","Gasto","Ocio","Comida","0,50","Variable","Pagado"
"03/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"05/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"06/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"07/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"10/02/2025","Gasto","Ocio","Comida","3,00","Variable","Pagado"
"11/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"12/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"13/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"14/02/2025","Gasto","Ocio","Comida","11,50","Variable","Pagado"
"17/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"18/02/2025","Gasto","Ocio","Comida","3,00","Variable","Pagado"
"19/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"20/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"24/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"25/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"26/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"27/02/2025","Gasto","Ocio","Comida","4,50","Variable","Pagado"
"28/02/2025","Gasto","Ocio","Café","1,50","Variable","Pagado"
"12/02/2025","Gasto","Ropa","Ropa","25,00","Variable","Pagado"
"21/02/2025","Gasto","Ropa","Ropa","60,08","Variable","Pagado"
